activation,activation_numerical,batch_size,delta_acc,dropout,early_stopping_patience,epochs,mean_train_score,mean_val_score,neurons_1,neurons_2,neurons_3,neurons_4,num_hidden_layers,optimizer,optimizer_numerical,reduce_lr_factor,reduce_lr_min_lr,reduce_lr_patience,std_train_score,std_val_score,weight_contraint
relu,0,64,0.105023982250678,0.2,15,60,0.7347228328386942,0.66489311059316,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0043102069858062,0.0136052836783066,10.0
relu,0,64,0.0574134942334213,0.2,15,60,0.6966548363367716,0.6588291525840759,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0270483960574364,0.008308357262358,10.0
relu,0,64,0.0996733764558108,0.2,20,60,0.7263616522153219,0.6605249047279358,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0222397117568287,0.004077010182562,10.0
relu,0,64,0.1015869579325298,0.2,20,60,0.7244217991828918,0.6576165358225504,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0274979479021464,0.008000053877478,10.0
relu,0,128,0.085200470012623,0.2,15,60,0.7165398200352987,0.660283366839091,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0187641140936133,0.006314090183626,10.0
relu,0,128,0.0571766793291979,0.2,15,60,0.699320395787557,0.6614981293678284,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0060992616507867,0.0135704292624878,10.0
relu,0,128,0.0886090941251633,0.2,20,60,0.7164168556531271,0.6581029494603475,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0050083735802238,0.0117201921445408,10.0
relu,0,128,0.0642833636042085,0.2,20,60,0.7045355836550394,0.661981205145518,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0092324937080643,0.0074302084134805,10.0
relu,0,256,0.0848040973154625,0.2,15,60,0.7149635553359985,0.6590715845425924,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0163146075016332,0.0079492446267978,10.0
relu,0,256,0.0911239919455897,0.2,15,60,0.724419891834259,0.6639207800229391,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.011200489078104,0.0067388859658563,10.0
relu,0,256,0.0981620107918995,0.2,20,60,0.726964553197225,0.6619829734166464,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0102867882267663,0.0129210508466476,10.0
relu,0,256,0.0616981775709486,0.2,20,60,0.7030812700589498,0.6622232993443807,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0155132718258196,0.0070339563556506,10.0
relu,0,512,0.0701985425855526,0.2,15,60,0.7079316973686218,0.6614956657091776,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0155052713366199,0.0067346534748376,10.0
relu,0,512,0.0827811958560602,0.2,15,60,0.7183574835459391,0.6634373466173807,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0145875751846788,0.0113512508966841,10.0
relu,0,512,0.0563446757620755,0.2,20,60,0.7000502546628317,0.6627100706100464,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0121365676309114,0.0119221395963612,10.0
relu,0,512,0.0674130238043509,0.2,20,60,0.7102318008740743,0.6653767426808676,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0171356971432748,0.0097018619265196,10.0
relu,0,1024,0.0648881758032123,0.2,15,60,0.7023540536562601,0.6595566272735596,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0122727003877175,0.0083086042621574,10.0
relu,0,1024,0.0675031918482954,0.2,15,60,0.707444945971171,0.662709911664327,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.006820933393622,0.0110679082315799,10.0
relu,0,1024,0.0545942953610779,0.2,20,60,0.6955637137095133,0.6595557332038879,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0085201255044139,0.0064334689627016,10.0
relu,0,1024,0.0690539453123286,0.2,20,60,0.7019893527030945,0.656645397345225,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.006949298641406,0.0040421713593488,10.0
LeakyReLU,1,64,0.0557728285529009,0.2,15,60,0.7022314667701721,0.6651350061098734,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0105931760880583,0.0120230678400746,10.0
LeakyReLU,1,64,0.0753545245849743,0.2,15,60,0.711083173751831,0.6612546443939209,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0190984929105411,0.010353288510781,10.0
LeakyReLU,1,64,0.0638217369643042,0.2,20,60,0.7052625219027201,0.6629517873128256,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0049519159722986,0.0093217817045228,10.0
LeakyReLU,1,64,0.0639178103110597,0.2,20,60,0.7042941649754842,0.6619817415873209,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0217052169139339,0.0090956763952864,10.0
LeakyReLU,1,128,0.0574318890734444,0.2,15,60,0.7053853670756022,0.6670740445454916,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0144138954318167,0.0099435985128981,10.0
LeakyReLU,1,128,0.0416659610055229,0.2,15,60,0.6941098570823669,0.6663459142049154,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0157721630949977,0.0076422321081304,10.0
LeakyReLU,1,128,0.0565167395551681,0.2,20,60,0.7047767837842306,0.6670758326848348,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.001928256408898,0.0146470994535304,10.0
LeakyReLU,1,128,0.0609161463089457,0.2,20,60,0.7010200222333273,0.6607685486475626,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.012812375850174,0.0067698556757588,10.0
LeakyReLU,1,256,0.0508573998994581,0.2,15,60,0.6964132388432821,0.6627095540364584,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0139403236175231,0.0103537572845218,10.0
LeakyReLU,1,256,0.0528182266149495,0.2,15,60,0.6936253110567728,0.6588272253672282,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0154528181453801,0.0036290585031937,10.0
LeakyReLU,1,256,0.0630452053461857,0.2,20,60,0.7073242465655009,0.6653755108515421,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0102622351869663,0.0060883693211463,10.0
LeakyReLU,1,256,0.0404431262639558,0.2,20,60,0.6922884980837504,0.6653785109519958,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0047491994124693,0.0153008182812159,10.0
LeakyReLU,1,512,0.0408718930301805,0.2,15,60,0.6885324319203695,0.6614958445231119,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0144760408471113,0.0073283413639216,10.0
LeakyReLU,1,512,0.0350236789280617,0.2,15,60,0.6844116648038229,0.6612521807352701,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0208049889788799,0.0038699971423094,10.0
LeakyReLU,1,512,0.043435208601279,0.2,20,60,0.6902287801106771,0.6614965399106344,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0057458819666012,0.0089078554319137,10.0
LeakyReLU,1,512,0.0344781494943241,0.2,20,60,0.6838025053342184,0.6610120336214701,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.004957601771529,0.0104020208847121,10.0
LeakyReLU,1,1024,0.0238965015910867,0.2,15,60,0.6753160754839579,0.6595550179481506,128,256,512,1024,2,adam,0.0,0.1,1e-07,5,0.0107006581558187,0.004776027792428,10.0
LeakyReLU,1,1024,0.0481768334665689,0.2,15,60,0.6910774906476339,0.6593138376871744,128,256,512,1024,2,nadam,1.0,0.1,1e-07,5,0.0066025069922253,0.0075495021949798,10.0
