Unnamed: 0,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream,Genre
5200,Richard Marx,Don't Mean Nothing,Richard Marx,album,0.673,0.765,5.0,-10.615,0.0256,0.0439,3.43e-05,0.107,0.779,98.241,281533.0,richard marx - don't mean nothin',WAHCHINKSAPA07,1705529.0,9352.0,1016.0,False,False,4686102.0,pop
5201,Richard Marx,Surrender To Me,Flesh And Bone,album,0.427,0.438,10.0,-8.884,0.0311,0.525,0.0,0.118,0.0636,140.823,222600.0,Surrender To Me - Richard Marx & Lara Fabian,Christinadoyle1,3043162.0,17034.0,423.0,False,False,2005189.0,pop
5202,Djavan,Se...,Coisa de Acender,album,0.575,0.392,9.0,-10.383,0.0349,0.609,7.45e-05,0.0624,0.498,179.791,291533.0,"Djavan - ""Se"" - Clipe oficial",DjavanOficial,1207646.0,10226.0,231.0,False,False,110752986.0,pop
5203,Djavan,Camarão Que Dorme a Onda Leva,"Sambabook Zeca Pagodinho, Vol. 2",compilation,0.723,0.694,0.0,-6.694,0.0802,0.313,0.0,0.052,0.739,106.359,168948.0,Camarão Que Dorme A Onda Leva,SambabookVEVO,2821747.0,21053.0,348.0,False,False,49791393.0,pop
5204,Djavan,Eu Te Devoro - Ao Vivo,Ária - Ao Vivo,album,0.536,0.557,7.0,-10.799,0.0416,0.197,7.33e-06,0.951,0.209,169.88,308413.0,Djavan -  Eu te devoro - Versão DVD Ária ao Vivo - Oficial,DjavanOficial,890456.0,9786.0,208.0,True,True,58218230.0,pop
5205,Djavan,Se... (Ao Vivo),"Djavan ""Ao Vivo""",album,0.586,0.591,9.0,-8.332,0.0299,0.698,0.0,0.959,0.565,95.603,287267.0,Djavan - Se... (Ao Vivo),DjavanVEVO,31910079.0,195154.0,4194.0,True,True,11790296.0,pop
5206,Djavan,Flor de Lis,A Voz e o Violão,album,0.549,0.502,2.0,-16.202,0.0493,0.223,0.0,0.0622,0.781,85.793,225267.0,Djavan - Flor de Lis (Ao Vivo),DjavanVEVO,12059360.0,111355.0,2140.0,True,True,51689854.0,pop
5207,Djavan,Oceano,Djavan,album,0.666,0.479,7.0,-9.286,0.0247,0.546,0.000609,0.286,0.151,92.865,296107.0,Djavan – Oceano (Clipe Oficial) [HD],DjavanOficial,5627266.0,104024.0,3309.0,False,False,33382883.0,pop
5208,Djavan,Eu Te Devoro,Bicho Solto - O XIII,album,0.708,0.656,2.0,-6.812,0.0491,0.129,4.44e-05,0.176,0.842,171.985,298360.0,Djavan -  Eu te devoro - Versão DVD Ária ao Vivo - Oficial,DjavanOficial,890456.0,9786.0,208.0,True,True,21984879.0,pop
5209,Djavan,Um Amor Puro,"Djavan ""Ao Vivo""",album,0.682,0.343,0.0,-9.866,0.0299,0.0188,0.0,0.118,0.164,117.11,327000.0,Djavan - Um Amor Puro (Ao Vivo),DjavanVEVO,35810911.0,278398.0,10874.0,True,True,15740344.0,pop
